StoreFullId;Nome
0070026800268;Padova
0070028700287;Roma Torvergata
0070031300313;Prato
0070033500335;Bologna
0070035500355;Marghera
0070036700367;Mestre
0070037800378;Olmi, Treviso
0070041100411;Roma Settecamini
0070046500465;Fiumicino
0070046900469;Roma Bufalotta
0070052100521;Roma Prenestina
0070059700597;Curtatone, Mantova
0070062000620;Modena
0070062100621;Foligno
0070062700627;San Giovanni Lupatoto, Verona
0070073400734;Sesto Fiorentino
0070083600836;Figline Valdarno
0070087000870;Villafranca, Verona
0070094600946;Lastra a Signa, Firenze
0070113401134;Roma Appio
0070113601136;Bolzano
0070114801148;Ferrara
0070115701157;Firenze Novoli
0070117501175;Arezzo
0070152601526;Viterbo
0070158201582;San Fior, Treviso
0070202702027;Zola Predosa, Bologna
0070231302313;Roma Casal del Marmo
